filter_,wer_mean,wer_std,cer_mean,cer_std,wil_mean,wil_std,wip_mean,wip_std,fluxo,type
limiarização_de_otsu,0.9991232838364468,0.4838062994707452,0.8582280220840216,0.3451207619978512,0.9259187076224099,0.22865367179718799,0.07408129237759012,0.22865367179718807,OpenCV[todos preproc] -> Tesseract,SROEI
original,0.9007228483129359,0.38604429646179866,0.7743557061676062,0.35648798018076133,0.8901123285332326,0.27666145039802553,0.10988767146676746,0.27666145039802553,OpenCV[todos preproc] -> Tesseract,SROEI
bilateral,0.7779971957220139,0.5183796410133829,0.5374360312418673,0.37812079433403956,0.7330670767736114,0.39927836154556023,0.26693292322638856,0.39927836154556023,ESRGAN -> OpenCV -> EASYOCR,SROEI
image_full_gray,0.7770111788102593,0.520599621437333,0.5388408980848096,0.3761526672376489,0.731929643270167,0.40017919261860446,0.2680703567298331,0.40017919261860424,ESRGAN -> OpenCV -> EASYOCR,SROEI
limiarização_binária,0.7873990764842989,0.5188804326397476,0.543341216769954,0.38034351983789594,0.7408843376431637,0.3957406012888892,0.25911566235683625,0.39574060128888916,ESRGAN -> OpenCV -> EASYOCR,SROEI
limiarização_de_otsu,0.7895466520814041,0.5297971771475392,0.5450219208543725,0.37920595550331243,0.738392495466716,0.39727908283073105,0.261607504533284,0.3972790828307311,ESRGAN -> OpenCV -> EASYOCR,SROEI
original,0.7777334587401953,0.5204757973243006,0.5372545538217018,0.3767878092656245,0.7326870930814288,0.3997991785813563,0.26731290691857124,0.3997991785813564,ESRGAN -> OpenCV -> EASYOCR,SROEI
bilateral,0.8575898946006945,0.6993299330878471,0.5614836161049745,0.5082083905155013,0.7561977441999069,0.3892433338364269,0.243802255800093,0.38924333383642695,ESRGAN -> OpenCV -> Tesseract,SROEI
image_full_gray,0.8604641630705574,0.7193057032930379,0.5641217877587528,0.515734017925837,0.7581609601081349,0.3878580552515073,0.24183903989186506,0.3878580552515072,ESRGAN -> OpenCV -> Tesseract,SROEI
limiarização_binária ,0.8660129931315239,0.7257829053164081,0.5689204794357163,0.537505835044679,0.759678129090928,0.3870153149233389,0.24032187090907206,0.38701531492333896,ESRGAN -> OpenCV -> Tesseract,SROEI
limiarização_de_otsu,0.8604641630705574,0.7193057032930379,0.5641217877587528,0.515734017925837,0.7581609601081349,0.3878580552515073,0.24183903989186506,0.3878580552515072,ESRGAN -> OpenCV -> Tesseract,SROEI
original,0.8549649998324079,0.6825148668563579,0.5604074939126948,0.506115013541941,0.756100396606309,0.3892839732921016,0.243899603393691,0.38928397329210196,ESRGAN -> OpenCV -> Tesseract,SROEI
